model,dataset,stratum,N,mean,std6,n_pids
Llama-3.2-3B,gsm8kfull,L1,256,0.9942910654778352,0.0002236600172052,901
Llama-3.2-3B,gsm8kfull,L2,256,0.9392137101410776,0.0028619090329467,62
Llama-3.2-3B,gsm8kfull,L3,256,0.8911024318529396,0.0026219006245765,48
Llama-3.2-3B,gsm8kfull,L4,256,0.811303420431721,0.0023628260220302,65
Llama-3.2-3B,gsm8kfull,L5,256,0.2739125464329898,0.0025050748050093,182
Llama-3.2-3B,gsm8kfull,overall,256,0.8739644058283653,0.0013777321787346,1258
Llama-3.2-3B,mathfull,L1,256,0.9954867278828038,0.0001504693894047,1689
Llama-3.2-3B,mathfull,L2,256,0.9697444446318678,0.0005290569811311,375
Llama-3.2-3B,mathfull,L3,256,0.8974933865943321,0.0011356186652751,315
Llama-3.2-3B,mathfull,L4,256,0.7482821263271157,0.0018087027490375,476
Llama-3.2-3B,mathfull,L5,256,0.1496756482341424,0.0011010288581689,1749
Llama-3.2-3B,mathfull,overall,256,0.6398146541706,0.0009581690521501,4604
Phi-4-mini-instruct,aime,L1,256,1.0,0.0,1
Phi-4-mini-instruct,aime,L2,256,0.9479166616996129,0.026020829765519993,2
Phi-4-mini-instruct,aime,L3,256,,,0
Phi-4-mini-instruct,aime,L4,256,,,0
Phi-4-mini-instruct,aime,L5,256,0.017878788116980647,0.005035826198160965,55
Phi-4-mini-instruct,aime,overall,256,0.06688218396264073,0.0068844429391338,58
Phi-4-mini-instruct,gsm8kfull,L1,256,0.992158620160339,0.0001281339650853,1046
Phi-4-mini-instruct,gsm8kfull,L2,256,0.9802796806987016,0.0005670540935159,73
Phi-4-mini-instruct,gsm8kfull,L3,256,0.8821365258438472,0.0045428664517868,47
Phi-4-mini-instruct,gsm8kfull,L4,256,0.8543120176466399,0.0072997345885393,43
Phi-4-mini-instruct,gsm8kfull,L5,256,0.225369199295037,0.0035882038440024,79
Phi-4-mini-instruct,gsm8kfull,overall,256,0.9358372155252282,0.0018312038942766,1288
Phi-4-mini-instruct,math500,L1,256,0.9919282946475716,0.0005545142073323,215
Phi-4-mini-instruct,math500,L2,256,0.9321220941451746,0.0035113097477219,43
Phi-4-mini-instruct,math500,L3,256,0.9445833346909946,0.0044798936438744,30
Phi-4-mini-instruct,math500,L4,256,0.5691176477448371,0.00233551615997,51
Phi-4-mini-instruct,math500,L5,256,0.1332276574221264,0.0018265037689574,138
Phi-4-mini-instruct,math500,overall,256,0.6899240046067933,0.0020151018255591,477
Qwen2.5-3B,aime,L1,256,1.0,0.0,3
Qwen2.5-3B,aime,L2,256,,,0
Qwen2.5-3B,aime,L3,256,1.0,0.0,3
Qwen2.5-3B,aime,L4,256,0.9937500059604645,0.011636855605359828,2
Qwen2.5-3B,aime,L5,256,0.026186868782634938,0.0056779974299947375,55
Qwen2.5-3B,aime,overall,256,0.14964726658675956,0.005696021769045091,63
Qwen2.5-3B,gsm8kfull,L1,256,0.99494310741977,0.0001288805432309,1018
Qwen2.5-3B,gsm8kfull,L2,256,0.9128955697546464,0.0017354643674406,79
Qwen2.5-3B,gsm8kfull,L3,256,0.9325203254319184,0.0037719550231664,41
Qwen2.5-3B,gsm8kfull,L4,256,0.6888593397968522,0.0045338329953233,47
Qwen2.5-3B,gsm8kfull,L5,256,0.2311375663024447,0.0028220576647963,105
Qwen2.5-3B,gsm8kfull,overall,256,0.914612403208419,0.0014307026109924,1290
Qwen2.5-3B,math1k,L1,256,0.9998115577689768,0.0001051080864939,199
Qwen2.5-3B,math1k,L2,256,0.9630234506701928,0.0010311205421795,199
Qwen2.5-3B,math1k,L3,256,0.9138400339969188,0.001791981566264,199
Qwen2.5-3B,math1k,L4,256,0.7135639035835716,0.0011093176591838,203
Qwen2.5-3B,math1k,L5,256,0.1416395834002954,0.0012045344097412,200
Qwen2.5-3B,math1k,overall,256,0.7456397225523058,0.0011801674066303,1000
Qwen2.5-3B,mathfull,L1,256,0.9982918968820972,6.550062810309885e-05,2715
Qwen2.5-3B,mathfull,L2,256,0.9641981337364188,0.0009113227461431,384
Qwen2.5-3B,mathfull,L3,256,0.8932736071538651,0.0014589362856115,293
Qwen2.5-3B,mathfull,L4,256,0.727862420203362,0.0019816261888383,361
Qwen2.5-3B,mathfull,L5,256,0.1459835561297464,0.0006776996568519,1018
Qwen2.5-3B,mathfull,overall,256,0.7867770580841033,0.0007714441785951,4771
Qwen3-4B-Instruct-2507,aime,L1,256,1.0,0.0,18
Qwen3-4B-Instruct-2507,aime,L2,256,1.0,0.0,9
Qwen3-4B-Instruct-2507,aime,L3,256,1.0,0.0,11
Qwen3-4B-Instruct-2507,aime,L4,256,0.6344907400715682,0.02498263395280882,9
Qwen3-4B-Instruct-2507,aime,L5,256,0.02934027811581337,0.002270260125409479,36
Qwen3-4B-Instruct-2507,aime,overall,256,0.5393574297929324,0.008361367639265337,83
